Hour,Temperature,Humidity,Illuminance,Signal Strength
0,27.011435934102423,56.916342170815184,70.95226255629026,-77.43431859033703
1,27.007408494004643,56.92463961394235,69.52529509245976,-78.4390347455292
2,26.888709581630337,57.211825245215664,19.775451143503314,-76.89141104743501
3,26.65787795992714,55.392531876138435,7.506944444444445,-72.83333333333333
4,26.30006071645416,56.141924711596836,0.0,-73.33333333333333
5,26.191666666666666,58.954166666666666,0.0,-72.0
6,26.525198412698415,59.86111111111111,5.888888888888889,-71.66666666666667
7,26.037333333333333,63.025333333333336,0.0,-72.2
8,26.864618055555553,63.81024305555555,13.02951388888889,-75.69288194444445
9,26.834491760424612,64.48639097110049,19.933369181959588,-77.647728379586
10,26.422115502148113,64.6474710191558,15.078604598387207,-76.88243795037273
11,26.32810678222205,64.62662699363685,17.51850673192545,-76.90743247469848
12,26.63668267354198,64.98619557989183,20.5443789790711,-77.95166676511707
13,27.096204920415346,64.59047153239796,18.825244577861007,-77.90099670327257
14,27.150047909388476,63.64736337330286,24.659334531523907,-78.94653426997843
15,27.2741849730783,64.01034837264865,20.076105872510947,-77.42995073535486
16,27.45014565076241,64.25296187952482,22.805490569116095,-78.46449848947219
17,27.680072473785938,62.2469499316855,21.677616837013677,-77.92561653320406
18,27.357803559791463,62.25674792277615,20.027142391658522,-78.23707355816227
19,27.094444444444445,63.208333333333336,15.833333333333334,-78.94444444444444
20,27.250850583661347,61.16743919828593,24.427517279255156,-78.4776863871317
21,26.706637289498158,59.776157425647334,23.59622394154309,-78.48439883815858
22,26.763809744081218,56.98531953323057,23.50793650793651,-78.76914828150477
23,26.72687152420848,57.55215370378414,23.515993265993266,-78.5765768182435
